service_id,date,exception_type
2502,20241225,1
2502,20241006,1
2502,20241013,1
2502,20241020,1
2502,20241027,1
2502,20241110,1
2502,20241117,1
2502,20241124,1
2502,20241201,1
2502,20241208,1
2502,20241215,1
2502,20241222,1
2502,20241229,1
2502,20241009,1
2502,20240929,1
2502,20240922,1
2502,20241103,1
2502,20240815,1
2502,20240630,1
2502,20240714,1
2502,20240721,1
2502,20240728,1
2502,20240804,1
2502,20240811,1
2502,20240915,1
2502,20240908,1
2502,20240901,1
2502,20240825,1
2502,20240818,1
2506,20240722,1
2506,20240718,1
2506,20240723,1
2506,20240724,1
2506,20240725,1
2506,20240729,1
2506,20240730,1
2506,20240731,1
2506,20241231,1
2506,20241224,1
2506,20241230,1
2506,20241226,1
2506,20240717,1
2506,20240715,1
2506,20240716,1
2506,20240701,1
2506,20240702,1
2506,20240703,1
2506,20240708,1
2506,20240709,1
2506,20240710,1
2506,20240711,1
2530,20240707,1
2531,20240704,1
2531,20240627,1
2663,20240928,1
2663,20240921,1
2663,20240914,1
2663,20240907,1
2663,20241228,1
2663,20241214,1
2663,20241005,1
2663,20241019,1
2663,20241026,1
2663,20241102,1
2663,20241109,1
2663,20241116,1
2663,20241123,1
2663,20241130,1
2663,20241221,1
2663,20241207,1
2663,20240713,1
2663,20240831,1
2663,20240824,1
2663,20240817,1
2663,20240810,1
2663,20240803,1
2663,20240727,1
2663,20240720,1
2663,20240629,1
2667,20240706,1
2667,20260101,1
2694,20240726,1
2694,20240719,1
2694,20240712,1
2694,20241227,1
2713,20240705,1
2713,20240628,1
