route_id,service_id,trip_id,trip_headsign,shape_id
V1-39-1,2502,4118044,Castelló,2
V1-17-36,2502,4118327,Seminari - CEU,48
V1-36-17,2502,4118045,Torrent,2
V1-1-39,2502,4118328,Bétera,48
V1-39-17,2502,4118046,Torrent,2
V1-17-36,2502,4118329,Seminari - CEU,48
V1-36-1,2502,4118047,Castelló,2
V1-17-39,2502,4118330,Bétera,48
V1-39-17,2502,4118048,Torrent,2
V1-1-36,2502,4118331,Seminari - CEU,48
V1-36-17,2502,4118049,Torrent,2
V1-17-39,2502,4118332,Bétera,48
V1-39-1,2502,4118050,Castelló,2
V1-17-36,2502,4118333,Seminari - CEU,48
V1-36-17,2502,4118051,Torrent,2
V1-1-39,2502,4118334,Bétera,48
V1-39-17,2502,4118052,Torrent,2
V1-17-36,2502,4118335,Seminari - CEU,48
V1-36-1,2502,4118053,Castelló,2
V1-17-39,2502,4118336,Bétera,48
V1-39-17,2502,4118054,Torrent,2
V1-1-36,2502,4118337,Seminari - CEU,48
V1-36-17,2502,4118055,Torrent,2
V1-17-39,2502,4118338,Bétera,48
V1-39-1,2502,4118056,Castelló,2
V1-17-36,2502,4118339,Seminari - CEU,48
V1-36-17,2502,4118057,Torrent,2
V1-1-39,2502,4118340,Bétera,48
V1-39-17,2502,4118058,Torrent,2
V1-17-36,2502,4118341,Seminari - CEU,48
V1-36-1,2502,4118059,Castelló,2
V1-17-39,2502,4118342,Bétera,48
V1-39-17,2502,4118060,Torrent,2
V1-1-29,2502,4118343,Empalme,2
V1-36-5,2502,4118061,L'Alcúdia,2
V1-17-39,2502,4118344,Bétera,48
V1-39-20,2502,4118062,València Sud,2
V1-36-13,2502,4118063,Picassent,2
V1-39-20,2502,4118064,València Sud,2
V1-39-17,2502,4118065,Torrent,2
V2-20-54,2502,4118347,Llíria,47
V2-20-107,2502,4118066,Torrent Avinguda,1
V2-107-54,2502,4118348,Llíria,47
V2-20-107,2502,4118067,Torrent Avinguda,1
V2-44-107,2502,4118068,Torrent Avinguda,1
V2-107-54,2502,4118349,Llíria,47
V2-20-107,2502,4118069,Torrent Avinguda,1
V2-54-107,2502,4118070,Torrent Avinguda,1
V2-107-54,2502,4118350,Llíria,47
V2-20-107,2502,4118071,Torrent Avinguda,1
V2-107-44,2502,4118351,Paterna,47
V2-54-107,2502,4118072,Torrent Avinguda,1
V2-107-54,2502,4118352,Llíria,47
V2-20-107,2502,4118073,Torrent Avinguda,1
V2-107-44,2502,4118353,Paterna,47
V2-54-107,2502,4118074,Torrent Avinguda,1
V2-107-54,2502,4118354,Llíria,47
V2-44-107,2502,4118075,Torrent Avinguda,1
V2-107-44,2502,4118355,Paterna,47
V2-54-107,2502,4118076,Torrent Avinguda,1
V2-107-54,2502,4118356,Llíria,47
V2-44-107,2502,4118077,Torrent Avinguda,1
V2-107-44,2502,4118357,Paterna,47
V2-54-107,2502,4118078,Torrent Avinguda,1
V2-107-54,2502,4118358,Llíria,47
V2-44-107,2502,4118079,Torrent Avinguda,1
V2-107-44,2502,4118359,Paterna,47
V2-54-107,2502,4118080,Torrent Avinguda,1
V2-107-54,2502,4118360,Llíria,47
V2-44-107,2502,4118081,Torrent Avinguda,1
V2-107-44,2502,4118361,Paterna,47
V2-54-107,2502,4118082,Torrent Avinguda,1
V2-107-54,2502,4118362,Llíria,47
V2-44-107,2502,4118083,Torrent Avinguda,1
V2-107-44,2502,4118363,Paterna,47
V2-54-107,2502,4118084,Torrent Avinguda,1
V2-107-54,2502,4118364,Llíria,47
V2-44-107,2502,4118085,Torrent Avinguda,1
V2-107-44,2502,4118365,Paterna,47
V2-54-107,2502,4118086,Torrent Avinguda,1
V2-107-54,2502,4118366,Llíria,47
V2-44-107,2502,4118087,Torrent Avinguda,1
V2-107-44,2502,4118367,Paterna,47
V2-54-107,2502,4118088,Torrent Avinguda,1
V2-107-54,2502,4118368,Llíria,47
V2-44-107,2502,4118089,Torrent Avinguda,1
V2-107-44,2502,4118369,Paterna,47
V2-54-107,2502,4118090,Torrent Avinguda,1
V2-107-54,2502,4118370,Llíria,47
V2-44-107,2502,4118091,Torrent Avinguda,1
V2-107-44,2502,4118371,Paterna,47
V2-54-107,2502,4118092,Torrent Avinguda,1
V2-107-54,2502,4118372,Llíria,47
V2-44-107,2502,4118093,Torrent Avinguda,1
V2-107-44,2502,4118373,Paterna,47
V2-54-107,2502,4118094,Torrent Avinguda,1
V2-107-54,2502,4118374,Llíria,47
V2-44-107,2502,4118095,Torrent Avinguda,1
V2-107-44,2502,4118375,Paterna,47
V2-54-107,2502,4118096,Torrent Avinguda,1
V2-107-54,2502,4118376,Llíria,47
V2-44-107,2502,4118097,Torrent Avinguda,1
V2-107-44,2502,4118377,Paterna,47
V2-54-107,2502,4118098,Torrent Avinguda,1
V2-107-54,2502,4118378,Llíria,47
V2-44-107,2502,4118099,Torrent Avinguda,1
V2-107-44,2502,4118379,Paterna,47
V2-54-107,2502,4118100,Torrent Avinguda,1
V2-107-54,2502,4118380,Llíria,47
V2-44-107,2502,4118101,Torrent Avinguda,1
V2-107-44,2502,4118381,Paterna,47
V2-54-107,2502,4118102,Torrent Avinguda,1
V2-107-54,2502,4118382,Llíria,47
V2-44-107,2502,4118103,Torrent Avinguda,1
V2-107-44,2502,4118383,Paterna,47
V2-54-107,2502,4118104,Torrent Avinguda,1
V2-107-54,2502,4118384,Llíria,47
V2-44-107,2502,4118105,Torrent Avinguda,1
V2-107-44,2502,4118385,Paterna,47
V2-54-107,2502,4118106,Torrent Avinguda,1
V2-107-54,2502,4118386,Llíria,47
V2-44-107,2502,4118107,Torrent Avinguda,1
V2-107-44,2502,4118387,Paterna,47
V2-54-107,2502,4118108,Torrent Avinguda,1
V2-107-54,2502,4118388,Llíria,47
V2-44-107,2502,4118109,Torrent Avinguda,1
V2-107-44,2502,4118389,Paterna,47
V2-54-107,2502,4118110,Torrent Avinguda,1
V2-107-54,2502,4118390,Llíria,47
V2-44-107,2502,4118111,Torrent Avinguda,1
V2-107-20,2502,4118391,València Sud,1
V2-54-20,2502,4118112,València Sud,1
V2-107-54,2502,4118392,Llíria,47
V2-44-20,2502,4118113,València Sud,1
V2-54-107,2502,4118114,Torrent Avinguda,1
V2-54-107,2502,4118116,Torrent Avinguda,1
V3-66-64,2502,4118394,Rafelbunyol,43
V3-66-182,2502,4118117,Aeroport,3
V3-182-64,2502,4118395,Rafelbunyol,43
V3-66-182,2502,4118118,Aeroport,3
V3-182-64,2502,4118396,Rafelbunyol,43
V3-64-182,2502,4118119,Aeroport,3
V3-182-64,2502,4118397,Rafelbunyol,43
V3-64-182,2502,4118120,Aeroport,3
V3-182-64,2502,4118398,Rafelbunyol,43
V3-56-182,2502,4118121,Aeroport,3
V3-182-64,2502,4118399,Rafelbunyol,43
V3-64-182,2502,4118122,Aeroport,3
V3-182-64,2502,4118400,Rafelbunyol,43
V3-56-182,2502,4118123,Aeroport,3
V3-182-64,2502,4118401,Rafelbunyol,43
V3-64-182,2502,4118124,Aeroport,3
V3-182-64,2502,4118402,Rafelbunyol,43
V3-56-182,2502,4118125,Aeroport,3
V3-182-64,2502,4118403,Rafelbunyol,43
V3-64-182,2502,4118126,Aeroport,3
V3-182-64,2502,4118404,Rafelbunyol,43
V3-64-182,2502,4118127,Aeroport,3
V3-182-64,2502,4118405,Rafelbunyol,43
V3-64-182,2502,4118128,Aeroport,3
V3-182-64,2502,4118406,Rafelbunyol,43
V3-64-182,2502,4118129,Aeroport,3
V3-182-64,2502,4118407,Rafelbunyol,43
V3-64-182,2502,4118130,Aeroport,3
V3-182-64,2502,4118408,Rafelbunyol,43
V3-64-182,2502,4118131,Aeroport,3
V3-182-64,2502,4118409,Rafelbunyol,43
V3-64-182,2502,4118132,Aeroport,3
V3-182-64,2502,4118410,Rafelbunyol,43
V3-64-182,2502,4118133,Aeroport,3
V3-182-64,2502,4118411,Rafelbunyol,43
V3-64-182,2502,4118134,Aeroport,3
V3-182-64,2502,4118412,Rafelbunyol,43
V3-64-182,2502,4118135,Aeroport,3
V3-182-64,2502,4118413,Rafelbunyol,43
V3-64-182,2502,4118136,Aeroport,3
V3-182-64,2502,4118414,Rafelbunyol,43
V3-64-182,2502,4118137,Aeroport,3
V3-182-64,2502,4118415,Rafelbunyol,43
V3-64-182,2502,4118138,Aeroport,3
V3-182-64,2502,4118416,Rafelbunyol,43
V3-64-182,2502,4118139,Aeroport,3
V3-182-64,2502,4118417,Rafelbunyol,43
V3-64-182,2502,4118140,Aeroport,3
V3-182-64,2502,4118418,Rafelbunyol,43
V3-64-182,2502,4118141,Aeroport,3
V3-182-64,2502,4118419,Rafelbunyol,43
V3-64-182,2502,4118142,Aeroport,3
V3-182-64,2502,4118420,Rafelbunyol,43
V3-64-182,2502,4118143,Aeroport,3
V3-182-64,2502,4118421,Rafelbunyol,43
V3-64-182,2502,4118144,Aeroport,3
V3-182-64,2502,4118422,Rafelbunyol,43
V3-64-182,2502,4118145,Aeroport,3
V3-182-64,2502,4118423,Rafelbunyol,43
V3-64-182,2502,4118146,Aeroport,3
V3-182-64,2502,4118424,Rafelbunyol,43
V3-64-182,2502,4118147,Aeroport,3
V3-182-64,2502,4118425,Rafelbunyol,43
V3-64-182,2502,4118148,Aeroport,3
V3-182-64,2502,4118426,Rafelbunyol,43
V3-64-182,2502,4118149,Aeroport,3
V3-182-64,2502,4118427,Rafelbunyol,43
V3-64-182,2502,4118150,Aeroport,3
V3-182-64,2502,4118428,Rafelbunyol,43
V3-64-182,2502,4118151,Aeroport,3
V3-182-64,2502,4118429,Rafelbunyol,43
V3-64-182,2502,4118152,Aeroport,3
V3-182-64,2502,4118430,Rafelbunyol,43
V3-64-182,2502,4118153,Aeroport,3
V3-182-64,2502,4118431,Rafelbunyol,43
V3-64-182,2502,4118154,Aeroport,3
V3-182-56,2502,4118432,Alboraia Peris Aragó,43
V3-64-182,2502,4118155,Aeroport,3
V3-182-64,2502,4118433,Rafelbunyol,43
V3-64-182,2502,4118156,Aeroport,3
V3-182-56,2502,4118434,Alboraia Peris Aragó,43
V3-64-182,2502,4118157,Aeroport,3
V3-182-64,2502,4118435,Rafelbunyol,43
V3-182-56,2502,4118436,Alboraia Peris Aragó,43
V3-64-182,2502,4118158,Aeroport,3
V3-182-64,2502,4118437,Rafelbunyol,43
V3-64-182,2502,4118159,Aeroport,3
V3-182-64,2502,4118438,Rafelbunyol,43
V3-64-182,2502,4118160,Aeroport,3
V3-64-182,2502,4118161,Aeroport,3
V3-64-182,2502,4118162,Aeroport,3
V4-94-102,2502,4118577,Vicent Andrés Estellés,25
V4-95-98,2502,4118780,Dr. Lluch,5
V4-98-114,2502,4118578,Mas del Rosari,5
V4-95-98,2502,4118781,Dr. Lluch,5
V4-98-102,2502,4118580,Vicent Andrés Estellés,5
V4-95-98,2502,4118782,Dr. Lluch,5
V4-98-114,2502,4118581,Mas del Rosari,5
V4-95-98,2502,4118783,Dr. Lluch,5
V4-98-102,2502,4118583,Vicent Andrés Estellés,5
V4-102-98,2502,4118785,Dr. Lluch,25
V4-98-114,2502,4118585,Mas del Rosari,5
V4-114-98,2502,4118786,Dr. Lluch,25
V4-98-102,2502,4118587,Vicent Andrés Estellés,5
V4-102-98,2502,4118788,Dr. Lluch,25
V4-98-114,2502,4118589,Mas del Rosari,5
V4-114-98,2502,4118789,Dr. Lluch,25
V4-98-102,2502,4118591,Vicent Andrés Estellés,5
V4-102-98,2502,4118791,Dr. Lluch,25
V4-98-114,2502,4118593,Mas del Rosari,5
V4-114-98,2502,4118795,Dr. Lluch,25
V4-94-102,2502,4118596,Vicent Andrés Estellés,25
V4-95-98,2502,4118797,Dr. Lluch,5
V4-98-114,2502,4118597,Mas del Rosari,5
V4-102-98,2502,4118799,Dr. Lluch,25
V4-98-102,2502,4118600,Vicent Andrés Estellés,5
V4-95-98,2502,4118803,Dr. Lluch,5
V4-98-102,2502,4118602,Vicent Andrés Estellés,5
V4-114-98,2502,4118804,Dr. Lluch,25
V4-98-114,2502,4118604,Mas del Rosari,5
V4-95-98,2502,4118808,Dr. Lluch,5
V4-98-102,2502,4118606,Vicent Andrés Estellés,5
V4-102-98,2502,4118809,Dr. Lluch,25
V4-98-102,2502,4118608,Vicent Andrés Estellés,5
V4-95-98,2502,4118811,Dr. Lluch,5
V4-98-114,2502,4118611,Mas del Rosari,5
V4-114-98,2502,4118813,Dr. Lluch,25
V4-98-102,2502,4118613,Vicent Andrés Estellés,5
V4-102-98,2502,4118816,Dr. Lluch,25
V4-98-102,2502,4118615,Vicent Andrés Estellés,5
V4-102-98,2502,4118818,Dr. Lluch,25
V4-98-114,2502,4118618,Mas del Rosari,5
V4-114-98,2502,4118820,Dr. Lluch,25
V4-98-102,2502,4118620,Vicent Andrés Estellés,5
V4-102-98,2502,4118823,Dr. Lluch,25
V4-98-102,2502,4118622,Vicent Andrés Estellés,5
V4-102-98,2502,4118825,Dr. Lluch,25
V4-98-114,2502,4118625,Mas del Rosari,5
V4-114-98,2502,4118827,Dr. Lluch,25
V4-98-102,2502,4118627,Vicent Andrés Estellés,5
V4-102-98,2502,4118830,Dr. Lluch,25
V4-98-102,2502,4118628,Vicent Andrés Estellés,5
V4-102-98,2502,4118832,Dr. Lluch,25
V4-98-114,2502,4118631,Mas del Rosari,5
V4-114-98,2502,4118834,Dr. Lluch,25
V4-98-102,2502,4118634,Vicent Andrés Estellés,5
V4-102-98,2502,4118837,Dr. Lluch,25
V4-98-102,2502,4118636,Vicent Andrés Estellés,5
V4-102-98,2502,4118839,Dr. Lluch,25
V4-98-114,2502,4118639,Mas del Rosari,5
V4-114-98,2502,4118841,Dr. Lluch,25
V4-98-102,2502,4118641,Vicent Andrés Estellés,5
V4-102-98,2502,4118844,Dr. Lluch,25
V4-98-102,2502,4118643,Vicent Andrés Estellés,5
V4-102-98,2502,4118846,Dr. Lluch,25
V4-98-114,2502,4118646,Mas del Rosari,5
V4-114-98,2502,4118848,Dr. Lluch,25
V4-98-102,2502,4118648,Vicent Andrés Estellés,5
V4-102-98,2502,4118851,Dr. Lluch,25
V4-98-102,2502,4118650,Vicent Andrés Estellés,5
V4-102-98,2502,4118853,Dr. Lluch,25
V4-98-114,2502,4118653,Mas del Rosari,5
V4-114-98,2502,4118856,Dr. Lluch,25
V4-98-102,2502,4118655,Vicent Andrés Estellés,5
V4-102-98,2502,4118859,Dr. Lluch,25
V4-98-102,2502,4118657,Vicent Andrés Estellés,5
V4-102-98,2502,4118860,Dr. Lluch,25
V4-98-114,2502,4118660,Mas del Rosari,5
V4-114-98,2502,4118862,Dr. Lluch,25
V4-98-102,2502,4118662,Vicent Andrés Estellés,5
V4-102-98,2502,4118865,Dr. Lluch,25
V4-98-102,2502,4118664,Vicent Andrés Estellés,5
V4-102-98,2502,4118867,Dr. Lluch,25
V4-98-114,2502,4118667,Mas del Rosari,5
V4-114-98,2502,4118869,Dr. Lluch,25
V4-98-102,2502,4118669,Vicent Andrés Estellés,5
V4-102-98,2502,4118872,Dr. Lluch,25
V4-98-102,2502,4118671,Vicent Andrés Estellés,5
V4-102-98,2502,4118874,Dr. Lluch,25
V4-98-114,2502,4118674,Mas del Rosari,5
V4-114-98,2502,4118876,Dr. Lluch,25
V4-98-102,2502,4118676,Vicent Andrés Estellés,5
V4-102-98,2502,4118879,Dr. Lluch,25
V4-98-102,2502,4118678,Vicent Andrés Estellés,5
V4-102-98,2502,4118881,Dr. Lluch,25
V4-98-114,2502,4118681,Mas del Rosari,5
V4-114-98,2502,4118883,Dr. Lluch,25
V4-98-102,2502,4118683,Vicent Andrés Estellés,5
V4-102-98,2502,4118886,Dr. Lluch,25
V4-98-102,2502,4118685,Vicent Andrés Estellés,5
V4-102-98,2502,4118888,Dr. Lluch,25
V4-98-114,2502,4118688,Mas del Rosari,5
V4-114-98,2502,4118890,Dr. Lluch,25
V4-98-102,2502,4118690,Vicent Andrés Estellés,5
V4-102-98,2502,4118893,Dr. Lluch,25
V4-98-102,2502,4118692,Vicent Andrés Estellés,5
V4-102-98,2502,4118895,Dr. Lluch,25
V4-98-114,2502,4118695,Mas del Rosari,5
V4-114-98,2502,4118897,Dr. Lluch,25
V4-98-102,2502,4118697,Vicent Andrés Estellés,5
V4-102-98,2502,4118900,Dr. Lluch,25
V4-98-102,2502,4118699,Vicent Andrés Estellés,5
V4-102-98,2502,4118902,Dr. Lluch,25
V4-98-114,2502,4118702,Mas del Rosari,5
V4-114-98,2502,4118904,Dr. Lluch,25
V4-98-102,2502,4118704,Vicent Andrés Estellés,5
V4-102-98,2502,4118907,Dr. Lluch,25
V4-98-102,2502,4118706,Vicent Andrés Estellés,5
V4-102-98,2502,4118909,Dr. Lluch,25
V4-98-114,2502,4118709,Mas del Rosari,5
V4-114-98,2502,4118911,Dr. Lluch,25
V4-98-102,2502,4118711,Vicent Andrés Estellés,5
V4-102-98,2502,4118914,Dr. Lluch,25
V4-98-102,2502,4118713,Vicent Andrés Estellés,5
V4-102-98,2502,4118916,Dr. Lluch,25
V4-98-114,2502,4118716,Mas del Rosari,5
V4-114-98,2502,4118918,Dr. Lluch,25
V4-98-102,2502,4118718,Vicent Andrés Estellés,5
V4-102-98,2502,4118921,Dr. Lluch,25
V4-98-102,2502,4118720,Vicent Andrés Estellés,5
V4-102-98,2502,4118923,Dr. Lluch,25
V4-98-114,2502,4118723,Mas del Rosari,5
V4-114-98,2502,4118925,Dr. Lluch,25
V4-98-102,2502,4118725,Vicent Andrés Estellés,5
V4-102-98,2502,4118928,Dr. Lluch,25
V4-98-102,2502,4118727,Vicent Andrés Estellés,5
V4-102-98,2502,4118930,Dr. Lluch,25
V4-98-114,2502,4118730,Mas del Rosari,5
V4-114-98,2502,4118932,Dr. Lluch,25
V4-98-102,2502,4118732,Vicent Andrés Estellés,5
V4-102-98,2502,4118935,Dr. Lluch,25
V4-98-102,2502,4118734,Vicent Andrés Estellés,5
V4-102-98,2502,4118937,Dr. Lluch,25
V4-98-114,2502,4118737,Mas del Rosari,5
V4-114-98,2502,4118939,Dr. Lluch,25
V4-98-102,2502,4118739,Vicent Andrés Estellés,5
V4-102-98,2502,4118942,Dr. Lluch,25
V4-98-102,2502,4118741,Vicent Andrés Estellés,5
V4-102-98,2502,4118944,Dr. Lluch,25
V4-98-114,2502,4118744,Mas del Rosari,5
V4-114-98,2502,4118947,Dr. Lluch,25
V4-98-102,2502,4118746,Vicent Andrés Estellés,5
V4-102-98,2502,4118949,Dr. Lluch,25
V4-98-102,2502,4118748,Vicent Andrés Estellés,5
V4-102-98,2502,4118951,Dr. Lluch,25
V4-98-114,2502,4118751,Mas del Rosari,5
V4-114-98,2502,4118953,Dr. Lluch,25
V4-98-102,2502,4118753,Vicent Andrés Estellés,5
V4-102-98,2502,4118956,Dr. Lluch,25
V4-98-102,2502,4118755,Vicent Andrés Estellés,5
V4-102-98,2502,4118958,Dr. Lluch,25
V4-98-114,2502,4118758,Mas del Rosari,5
V4-114-98,2502,4118960,Dr. Lluch,25
V4-98-102,2502,4118760,Vicent Andrés Estellés,5
V4-102-98,2502,4118963,Dr. Lluch,25
V4-98-102,2502,4118762,Vicent Andrés Estellés,5
V4-102-98,2502,4118965,Dr. Lluch,25
V4-98-114,2502,4118765,Mas del Rosari,5
V4-114-98,2502,4118967,Dr. Lluch,25
V4-98-102,2502,4118768,Vicent Andrés Estellés,5
V4-102-98,2502,4118970,Dr. Lluch,25
V4-102-98,2502,4118972,Dr. Lluch,25
V4-98-114,2502,4118770,Mas del Rosari,5
V4-114-98,2502,4118974,Dr. Lluch,25
V4-102-98,2502,4118976,Dr. Lluch,25
V4-102-98,2502,4118978,Dr. Lluch,25
V4-98-102,2502,4118775,Vicent Andrés Estellés,5
V4-114-98,2502,4118979,Dr. Lluch,25
V4-102-98,2502,4118981,Dr. Lluch,25
V4-102-98,2502,4118984,Dr. Lluch,25
V4-98-102,2502,4118778,Vicent Andrés Estellés,5
V4-114-98,2502,4118985,Dr. Lluch,25
V4-114-98,2502,4118989,Dr. Lluch,25
V4-102-98,2502,4118991,Dr. Lluch,25
V4-102-98,2502,4118992,Dr. Lluch,25
V4-94-115,2502,4118584,Ll. Llarga - Terramelar,25
V4-115-29,2502,4118793,Empalme,25
V4-29-115,2502,4118588,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118801,Empalme,25
V4-29-115,2502,4118592,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118806,Empalme,25
V4-29-115,2502,4118594,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118814,Empalme,25
V4-29-115,2502,4118599,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118822,Empalme,25
V4-29-115,2502,4118609,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118828,Empalme,25
V4-29-115,2502,4118616,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118836,Empalme,25
V4-29-115,2502,4118623,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118842,Empalme,25
V4-29-115,2502,4118629,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118850,Empalme,25
V4-29-115,2502,4118637,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118857,Empalme,25
V4-29-115,2502,4118644,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118864,Empalme,25
V4-29-115,2502,4118651,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118870,Empalme,25
V4-29-115,2502,4118658,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118878,Empalme,25
V4-29-115,2502,4118665,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118884,Empalme,25
V4-29-115,2502,4118672,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118892,Empalme,25
V4-29-115,2502,4118679,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118898,Empalme,25
V4-29-115,2502,4118686,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118906,Empalme,25
V4-29-115,2502,4118693,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118912,Empalme,25
V4-29-115,2502,4118700,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118920,Empalme,25
V4-29-115,2502,4118707,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118926,Empalme,25
V4-29-115,2502,4118714,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118934,Empalme,25
V4-29-115,2502,4118721,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118940,Empalme,25
V4-29-115,2502,4118728,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118945,Empalme,25
V4-29-115,2502,4118735,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118954,Empalme,25
V4-29-115,2502,4118742,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118962,Empalme,25
V4-29-115,2502,4118749,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118968,Empalme,25
V4-29-115,2502,4118756,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118975,Empalme,25
V4-29-115,2502,4118763,Ll. Llarga - Terramelar,5
V4-115-29,2502,4118983,Empalme,25
V4-29-115,2502,4118773,Ll. Llarga - Terramelar,5
V4-115-98,2502,4118987,Dr. Lluch,5
V5-69-123,2502,4118441,Marítim,7
V5-66-69,2502,4118163,Alameda,44
V5-69-123,2502,4118442,Marítim,7
V5-123-182,2502,4118164,Aeroport,44
V5-182-123,2502,4118443,Marítim,7
V5-66-69,2502,4118165,Alameda,44
V5-182-123,2502,4118444,Marítim,7
V5-123-182,2502,4118166,Aeroport,44
V5-69-123,2502,4118445,Marítim,7
V5-123-182,2502,4118167,Aeroport,44
V5-182-123,2502,4118446,Marítim,7
V5-66-69,2502,4118168,Alameda,44
V5-69-123,2502,4118447,Marítim,7
V5-123-182,2502,4118169,Aeroport,44
V5-182-123,2502,4118448,Marítim,7
V5-123-182,2502,4118170,Aeroport,44
V5-182-123,2502,4118449,Marítim,7
V5-66-69,2502,4118171,Alameda,44
V5-182-123,2502,4118450,Marítim,7
V5-123-182,2502,4118172,Aeroport,44
V5-182-123,2502,4118451,Marítim,7
V5-123-182,2502,4118173,Aeroport,44
V5-182-123,2502,4118452,Marítim,7
V5-123-182,2502,4118174,Aeroport,44
V5-182-123,2502,4118453,Marítim,7
V5-123-182,2502,4118175,Aeroport,44
V5-182-123,2502,4118454,Marítim,7
V5-123-182,2502,4118176,Aeroport,44
V5-182-123,2502,4118455,Marítim,7
V5-123-182,2502,4118177,Aeroport,44
V5-182-123,2502,4118456,Marítim,7
V5-123-182,2502,4118178,Aeroport,44
V5-182-123,2502,4118457,Marítim,7
V5-123-182,2502,4118179,Aeroport,44
V5-182-123,2502,4118458,Marítim,7
V5-123-182,2502,4118180,Aeroport,44
V5-182-123,2502,4118459,Marítim,7
V5-123-182,2502,4118181,Aeroport,44
V5-182-123,2502,4118460,Marítim,7
V5-123-182,2502,4118182,Aeroport,44
V5-182-123,2502,4118461,Marítim,7
V5-123-182,2502,4118183,Aeroport,44
V5-182-123,2502,4118462,Marítim,7
V5-123-182,2502,4118184,Aeroport,44
V5-182-123,2502,4118463,Marítim,7
V5-123-182,2502,4118185,Aeroport,44
V5-182-123,2502,4118464,Marítim,7
V5-123-182,2502,4118186,Aeroport,44
V5-182-123,2502,4118465,Marítim,7
V5-123-182,2502,4118187,Aeroport,44
V5-182-123,2502,4118466,Marítim,7
V5-123-182,2502,4118188,Aeroport,44
V5-182-123,2502,4118467,Marítim,7
V5-123-182,2502,4118189,Aeroport,44
V5-182-123,2502,4118468,Marítim,7
V5-123-182,2502,4118190,Aeroport,44
V5-182-123,2502,4118469,Marítim,7
V5-123-182,2502,4118191,Aeroport,44
V5-182-123,2502,4118470,Marítim,7
V5-123-182,2502,4118192,Aeroport,44
V5-182-123,2502,4118471,Marítim,7
V5-123-182,2502,4118193,Aeroport,44
V5-182-123,2502,4118472,Marítim,7
V5-123-182,2502,4118194,Aeroport,44
V5-182-123,2502,4118473,Marítim,7
V5-123-182,2502,4118195,Aeroport,44
V5-182-123,2502,4118474,Marítim,7
V5-123-182,2502,4118196,Aeroport,44
V5-182-123,2502,4118475,Marítim,7
V5-123-182,2502,4118197,Aeroport,44
V5-182-123,2502,4118476,Marítim,7
V5-123-182,2502,4118198,Aeroport,44
V5-182-123,2502,4118477,Marítim,7
V5-123-182,2502,4118199,Aeroport,44
V5-182-123,2502,4118478,Marítim,7
V5-123-182,2502,4118200,Aeroport,44
V5-182-123,2502,4118479,Marítim,7
V5-123-182,2502,4118201,Aeroport,44
V5-182-123,2502,4118480,Marítim,7
V5-123-182,2502,4118202,Aeroport,44
V5-182-123,2502,4118481,Marítim,7
V5-123-182,2502,4118203,Aeroport,44
V5-182-123,2502,4118482,Marítim,7
V5-123-182,2502,4118204,Aeroport,44
V5-182-123,2502,4118483,Marítim,7
V5-123-182,2502,4118205,Aeroport,44
V5-182-123,2502,4118484,Marítim,7
V5-123-182,2502,4118206,Aeroport,44
V5-182-123,2502,4118485,Marítim,7
V5-123-182,2502,4118207,Aeroport,44
V5-69-66,2502,4118486,Machado,44
V5-123-182,2502,4118208,Aeroport,44
V5-182-123,2502,4118487,Marítim,7
V5-123-182,2502,4118209,Aeroport,44
V5-123-69,2502,4118210,Alameda,44
V5-182-66,2502,4118489,Machado,7
V6-94-132,2502,4118579,Tossal del Rei,8
V6-132-123,2502,4118784,Marítim,10
V6-94-132,2502,4118582,Tossal del Rei,8
V6-132-123,2502,4118787,Marítim,10
V6-123-132,2502,4118586,Tossal del Rei,8
V6-132-123,2502,4118790,Marítim,10
V6-123-132,2502,4118590,Tossal del Rei,8
V6-95-123,2502,4118792,Marítim,8
V6-123-132,2502,4118595,Tossal del Rei,8
V6-132-123,2502,4118796,Marítim,10
V6-123-132,2502,4118598,Tossal del Rei,8
V6-95-123,2502,4118800,Marítim,8
