service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
100, 0, 0, 0, 0, 0, 1, 0, 20220201, 20251231
200, 0, 0, 0, 0, 0, 0, 1, 20220201, 20251231
2502, 0, 0, 0, 0, 0, 0, 0, 20241206, 20241206
2506, 0, 0, 0, 0, 0, 0, 0, 20241224, 20241231
2530, 0, 0, 0, 0, 0, 0, 0, 20240707, 20240707
2531, 0, 0, 0, 0, 0, 0, 0, 20240627, 20240704
2663, 0, 0, 0, 0, 0, 0, 0, 20240907, 20241228
2667, 0, 0, 0, 0, 0, 0, 0, 20240706, 20240706
2694, 0, 0, 0, 0, 0, 0, 0, 20241227, 20241227
2713, 0, 0, 0, 0, 0, 0, 0, 20240628, 20240705
